Narrow Low Freq,Wide Variable Height,Wide Consistent,Deadband,Other (combination),unsuitable
5606,5374,5175,5524,5510,4244
5384,,5662,5258,5196,5190
5340,,5352,5429,5457,5798
5590,,5635,5715,5286,
5207,,5361,5634,5492,
5354,,5221,5317,5304,
5185,,5107,,5715,
5219,,5802,,5264,
5693,,5669,,5209,
5683,,5503,,5304,
,,5669,,5690,
,,5554,,5711,
,,,,5492,
,,,,5264,
,,,,5209,
,,,,5645,
,,,,5424,
,,,,5548,
,,,,5654,
,,,,5772,
,,,,5758,
,,,,5539,
,,,,5405,
,,,,5754,
,,,,5262,
,,,,5323,
,,,,5753,
,,,,5700,
,,,,5485,
,,,,5277,
,,,,5405,
,,,,5323,
,,,,5753,
,,,,5547,
,,,,5370,
,,,,5394,
,,,,5277,
